sport;lodowisko;каток
sport;skocznia;трамплин
sport;boisko;площадка
sport;sala gimnastyczna;гимнастический зал
sport;kort;корт
sport;łyżwiarstwo;конькобежный спорт
sport;maraton;марафон
sport;piłka nożna;футбол
sport;piłka;мяч
sport;piłkarz;футболист
sport;pływanie;плаванье
sport;medal;медаль
sport;tenis;теннис
sport;gimnastyka artystyczna;худож. гимнастика
sport;jeździć konno;ездить верхом
sport;zająć pierwsze miejsce;занять первое место
sport;zdobyć medal;завоевать медаль
sport;pobić rekord;побить рекорд
sport;wygrać medal;завоевать медаль
sport;środki dopingujące;допинг
sport;lekkoatleta;легкоатлет
sport;wyścigi samochodowe;автогонки
sport;żeglarstwo;парусный спорт
sport;koszykówka;баскетбол
sport;kolarstwo;велоспорт
sport;bieg;бег
sport;łyżwiarstwo figurowe;фигурное катание
sport;sztafeta;эстафета
sport;boks;бокс
sport;narciarstwo;лыжный спорт
sport;uprawiać sport;заниматься спортом
sport;sportowca;спортсмен
sport;mięśnie;мыщцы
sport;wędkarz;рыболов
sport;silna wola;сильная воля
sport;wytrzymałość;выносливость
sport;rywalizacja;соперничество
sport;samodyscyplina;самодисциплина
sport;drużyna;команда
sport;strzelić gola;забить гол
sport;gracz;игрок
sport;kraul;кроль
sport;delfin;дельфин
sport;żabka;брасс
sport;rakieta;ракетка
sport;skakać;скакать
sport;zawodnik;спортсмен
sport;brać udział;принимать участие
sport;mistrz świata;чемпион мира
sport;wygrywać;выигрывать
sport;wygrać;выиграть
sport;przegrywać;проигрывать
sport;przegrać;проиграть
sport;wynik gry;результат игры
sport;wynik meczu;результат матча
sport;kibic;болельщик
01;sport;zwyciężać;побеждать
01;sport;zwyciężyć;победить
01;sport;mistrzostwa świata;чемпионат мира
01;sport;robić ćwiczenia;делать упражения
01;sport;stadion;стадион
01;sport;wędkarstwo;рыбная ловля
01;sport;park wodny;аквапарк
01;sport;centrum SPA;СПА центр
01;sport;sklep sportowy;спортивный магазин
01;sport;relaks;разрядка, отдых
01;sport;odnowa;обновление
01;sport;mistrzynia świata;чемпионка мира
01;sport;trener;тренер
01;sport;rekordzistka świata;рекордсменка мира
01;sport;pływak;пловец
01;sport;zdobyć tytuł;получить титул
01;sport;wyścigi ;гонки
01;sport;wygrać wyścig;победить в соревнованиях
01;sport;styl motylkowy;стиль баттерфляй
01;sport;korty tenisowe;теннисные корты
01;sport;dżokej;жокей
01;sport;puchar;кубок
01;sport;biliard;бильярд
01;sport;aquarobik;аквааэробика
01;sport;wspinaczka;альпинизм
01;sport;wspinać się;восходить 
01;sport;skoczek;прыгун
01;sport;puchar świata;Кубок мира
01;sport;wystartować;стартовать
01;sport;biegać;бегун
01;sport;dystans;дистанция
01;sport;Igrzyska Olimpijskie;Олимпийские игры
01;sport;osiągać;достигать
01;sport;pięciobój;пятиборье
01;sport;pochodnia;факел
01;sport;rzut;бросок
01;sport;skok w dal;прыжок в длину
01;sport;skupiony;сосредоточенный
01;sport;trofeum;трофей
01;sport;trzykrotny;трехкратный
01;sport;zwycięstwo;победа
01;sport;zwycięzca;победить
01;sport;lekkoatletyka;легкая атлетика
01;sport;tenis stołowy;настольный теннис
01;sport;kajakarstwo;бейсбол
01;sport;jeździectwo;борьба
01;sport;szermierka;фехтование
